threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,business_cost
0.05,0.2653532126375577,1.0,0.4194136625052602,0,4139,0,1495,206950.0
0.06,0.2945259817532725,0.9933110367892977,0.45433685176686556,582,3557,10,1485,182850.0
0.07,0.34843453510436434,0.9826086956521739,0.5144458063386447,1392,2747,26,1469,150350.0
0.08,0.3782722513089005,0.9665551839464883,0.5437441204139228,1764,2375,50,1445,143750.0
0.09,0.39713724389559363,0.9464882943143813,0.5595096876235667,1991,2148,80,1415,147400.0
0.09999999999999999,0.4165917939502845,0.9304347826086956,0.5755068266446007,2191,1948,104,1391,149400.0
0.10999999999999999,0.4314096499526963,0.9150501672240803,0.5863694813544792,2336,1803,127,1368,153650.0
0.12,0.44367588932806323,0.9010033444816054,0.5945707349371,2450,1689,148,1347,158450.0
0.13,0.4569377990430622,0.894314381270903,0.6048405338158788,2550,1589,158,1337,158450.0
0.13999999999999999,0.4664310954063604,0.882943143812709,0.6104046242774567,2629,1510,175,1320,163000.0
0.14999999999999997,0.4771313574826198,0.8722408026755852,0.6168401135288553,2710,1429,191,1304,166950.0
0.15999999999999998,0.48150943396226414,0.8535117056856187,0.6156815440289506,2765,1374,219,1276,178200.0
0.16999999999999998,0.49203264671589586,0.8468227424749164,0.6224188790560472,2832,1307,229,1266,179850.0
0.18,0.5001999200319872,0.8367892976588629,0.6261261261261262,2889,1250,244,1251,184500.0
0.19,0.5088150881508815,0.8301003344481606,0.6309100152516522,2941,1198,254,1241,186900.0
0.19999999999999996,0.516995383969786,0.8240802675585285,0.6353790613718412,2988,1151,263,1232,189050.0
0.20999999999999996,0.5231560891938251,0.8160535117056856,0.6375751241181081,3027,1112,275,1220,193100.0
0.21999999999999997,0.528476821192053,0.8006688963210702,0.6367021276595745,3071,1068,298,1197,202400.0
0.22999999999999998,0.5330915684496826,0.7866220735785954,0.6355039178600378,3109,1030,319,1176,211000.0
0.24,0.5396085740913327,0.7745819397993311,0.6360889865421587,3151,988,337,1158,217900.0
0.24999999999999994,0.5436241610738255,0.7585284280936455,0.6333426417201898,3187,952,361,1134,228100.0
0.25999999999999995,0.551452486459872,0.7491638795986622,0.6352807714123653,3228,911,375,1120,233050.0
0.26999999999999996,0.5595358224016145,0.7418060200668897,0.637906241012367,3266,873,386,1109,236650.0
0.27999999999999997,0.5661348430262481,0.7357859531772575,0.6399069226294357,3296,843,395,1100,239650.0
0.29,0.5740053050397877,0.7237458193979933,0.6402366863905326,3336,803,413,1082,246650.0
0.3,0.5781758957654723,0.7123745819397993,0.6382978723404256,3362,777,430,1065,253850.0
0.30999999999999994,0.5824972129319955,0.6989966555183946,0.6354515050167224,3390,749,450,1045,262450.0
0.31999999999999995,0.5862857142857143,0.6862876254180602,0.6323574730354391,3415,724,469,1026,270700.0
0.32999999999999996,0.5923529411764706,0.6735785953177258,0.6303599374021909,3446,693,488,1007,278650.0
0.33999999999999997,0.5972305839855508,0.6635451505016723,0.6286438529784537,3470,669,503,992,284950.0
0.3499999999999999,0.6045792079207921,0.6535117056856188,0.6280938604950177,3500,639,518,977,290950.0
0.35999999999999993,0.6139682539682539,0.6468227424749163,0.6299674267100978,3531,608,528,967,294400.0
0.36999999999999994,0.6205997392438071,0.6367892976588628,0.6285902938263453,3557,582,543,952,300600.0
0.37999999999999995,0.6216755319148937,0.6254180602006689,0.6235411803934645,3570,569,560,935,308450.0
0.38999999999999996,0.6280653950953679,0.6167224080267558,0.622342220722241,3593,546,573,922,313800.0
0.3999999999999999,0.6347222222222222,0.611371237458194,0.6228279386712096,3613,526,581,914,316800.0
0.4099999999999999,0.6385542168674698,0.6026755852842809,0.6200963523743978,3629,510,594,901,322500.0
0.41999999999999993,0.6441409058231489,0.5993311036789297,0.6209286209286209,3644,495,599,896,324250.0
0.42999999999999994,0.6468864468864469,0.5906354515050167,0.6174825174825175,3657,482,612,883,330100.0
0.43999999999999995,0.6511627906976745,0.5806020066889632,0.6138613861386139,3674,465,627,868,336750.0
0.4499999999999999,0.6561538461538462,0.5705685618729097,0.6103756708407871,3692,447,642,853,343350.0
0.4599999999999999,0.6611243072050673,0.5585284280936454,0.6055112400290066,3711,428,660,835,351400.0
0.4699999999999999,0.6642335766423357,0.5478260869565217,0.6004398826979472,3725,414,676,819,358700.0
0.4799999999999999,0.6672185430463576,0.5391304347826087,0.5963743988161302,3737,402,689,806,364600.0
0.48999999999999994,0.6680743243243243,0.5290969899665552,0.5905188503172826,3746,393,704,791,371650.0
0.49999999999999994,0.6750871080139372,0.5183946488294314,0.5864547862277715,3766,373,720,775,378650.0
0.5099999999999999,0.6771300448430493,0.5050167224080268,0.578544061302682,3779,360,740,755,388000.0
0.5199999999999999,0.6813996316758748,0.49498327759197325,0.5734211545912437,3793,346,755,740,394800.0
0.5299999999999999,0.6807909604519774,0.4836120401337793,0.5655064528744622,3800,339,772,723,402950.0
0.5399999999999999,0.685131195335277,0.47157190635451507,0.5586370839936609,3815,324,790,705,411200.0
0.5499999999999999,0.6866866866866866,0.4588628762541806,0.5501202886928629,3826,313,809,686,420150.0
0.5599999999999999,0.7005181347150259,0.45217391304347826,0.5495934959349593,3850,289,819,676,423950.0
0.57,0.703862660944206,0.4387959866220736,0.5405850844664194,3863,276,839,656,433300.0
0.58,0.7054263565891473,0.4260869565217391,0.5312760633861552,3873,266,858,637,442300.0
0.59,0.7068965517241379,0.411371237458194,0.5200845665961945,3884,255,880,615,452750.0
0.6,0.7127532777115614,0.4,0.5124250214224507,3898,241,897,598,460550.0
0.61,0.7151664611590629,0.3879598662207358,0.5030355594102341,3908,231,915,580,469050.0
0.62,0.7168367346938775,0.3759197324414716,0.49319877139096097,3917,222,933,562,477600.0
0.63,0.7173051519154557,0.3632107023411371,0.4822380106571936,3925,214,952,543,486700.0
