threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,business_cost
0.05,0.3530971318389973,0.979933110367893,0.5191353649893693,1455,2684,30,1465,149200.0
0.06,0.3656210790464241,0.974581939799331,0.5317518248175183,1611,2528,38,1457,145400.0
0.07,0.3752272137107245,0.9665551839464883,0.5405910961466517,1733,2406,50,1445,145300.0
0.08,0.3857335127860027,0.9585284280936455,0.5500959692898273,1857,2282,62,1433,145100.0
0.09,0.39456159822419534,0.9511705685618729,0.5577564228280055,1957,2182,73,1422,145600.0
0.09999999999999999,0.40401721664275464,0.9418060200668896,0.5654618473895582,2062,2077,87,1408,147350.0
0.10999999999999999,0.41138307283987025,0.9331103678929766,0.5710192386410151,2143,1996,100,1395,149800.0
0.12,0.42084472804618656,0.9264214046822743,0.5787714166318428,2233,1906,110,1385,150300.0
0.13,0.42946317103620474,0.9204013377926421,0.5856565226643967,2311,1828,119,1376,150900.0
0.13999999999999999,0.43515850144092216,0.9090301003344482,0.5885664789952361,2375,1764,136,1359,156200.0
0.14999999999999997,0.4426552744002629,0.9010033444816054,0.5936535918907008,2443,1696,148,1347,158800.0
0.15999999999999998,0.4510595358224016,0.8969899665551839,0.6002685765443151,2507,1632,154,1341,158600.0
0.16999999999999998,0.4569672131147541,0.8949832775919733,0.6050192177255257,2549,1590,157,1338,158000.0
0.18,0.4638849929873773,0.8849498327759198,0.6086956521739131,2610,1529,172,1323,162450.0
0.19,0.47217235188509876,0.8795986622073578,0.6144859813084113,2669,1470,180,1315,163500.0
0.19999999999999996,0.4782448377581121,0.8675585284280937,0.6165913952935583,2724,1415,198,1297,169750.0
0.20999999999999996,0.48361581920903957,0.8588628762541806,0.6187951807228915,2768,1371,211,1284,174050.0
0.21999999999999997,0.48805855161787365,0.8474916387959867,0.6194084575898313,2810,1329,228,1267,180450.0
0.22999999999999998,0.49349625541978714,0.8374581939799332,0.621031746031746,2854,1285,243,1252,185750.0
0.24,0.5018094089264173,0.8347826086956521,0.6268206931190357,2900,1239,247,1248,185450.0
0.24999999999999994,0.511340206185567,0.8294314381270903,0.6326530612244898,2954,1185,255,1240,186750.0
0.25999999999999995,0.5179249261914803,0.8214046822742475,0.6352819451629591,2996,1143,267,1228,190650.0
0.26999999999999996,0.523400601116359,0.8153846153846154,0.6375523012552301,3029,1110,276,1219,193500.0
0.27999999999999997,0.5289438798055678,0.8006688963210702,0.6370409792442788,3073,1066,298,1197,202300.0
0.29,0.5328202806699864,0.7872909698996655,0.6355291576673866,3107,1032,318,1177,210600.0
